token,dssp,target
4,0.0,0.028620122
4,1.0,0.042509615
4,2.0,0.033158913
5,0.0,0.020338982
5,1.0,0.036745157
5,2.0,0.025369849
6,0.0,0.02513103
6,1.0,0.05444095
6,2.0,0.043748703
7,0.0,0.022910936
7,1.0,0.03558138
7,2.0,0.028643595
8,0.0,0.035390593
8,1.0,0.08688083
8,2.0,0.06275363
9,0.0,0.02753822
9,1.0,0.0502649
9,2.0,0.038792204
10,0.0,0.03286542
10,1.0,0.076846965
10,2.0,0.05174742
11,0.0,0.025150746
11,1.0,0.046595648
11,2.0,0.043260332
12,0.0,0.02645209
12,1.0,0.040210813
12,2.0,0.032261897
13,0.0,0.036050156
13,1.0,0.04642409
13,2.0,0.03557942
15,0.0,0.030608602
15,1.0,0.06754041
15,2.0,0.04669485
16,0.0,0.03034459
16,1.0,0.06071668
16,2.0,0.04363819
17,0.0,0.043515913
17,1.0,0.07908042
17,2.0,0.057129323
18,0.0,0.031264715
18,1.0,0.05328259
18,2.0,0.044846106
19,0.0,0.028234795
19,1.0,0.060126994
19,2.0,0.042536564
20,0.0,0.033024333
20,1.0,0.05688041
20,2.0,0.048460197
21,0.0,0.058928117
21,1.0,0.15406092
21,2.0,0.09520124
22,0.0,0.037405025
22,1.0,0.06464873
22,2.0,0.04936917
23,0.0,0.044769194
23,1.0,0.06999307
23,2.0,0.053119518
